,¨K¨K,¨K¨J,¨K¡ú,¨J¨K,¨J¨J,¨J¡ú,¡ú¨K,¡ú¨J,¡ú¡ú 
512,Adnp2,Cbx2,Ctxn1,AABR07070131.1,LOC102547811,,Emd,LOC100910894,
513,Adora2b,Cc2d1b,Cul2,AABR07070238.2,LOC102549115,,Emilin1,LOC100910915,
514,Adprhl2,Ccbe1,Cul5,AABR07070270.1,LOC102550456,,Eml5,LOC100911002,
515,Adprm,Ccdc106,Cul9,AABR07070416.3,LOC102552920,,Eny2,LOC100911100,
516,Adra1a,Ccdc114,Cwc25,AABR07070555.1,LOC102553180,,Epb41l3,LOC100911184,
517,Adrb2,Ccdc117,Cyb5r1,AABR07070559.1,LOC102554576,,Epc2,LOC100911976,
518,Adrm1,Ccdc122,Cyhr1,AABR07070796.1,LOC102555392,,Erbb3,LOC100911988,
519,Adsl,Ccdc136,Cyld,AABR07070802.1,LOC103690116,,Ercc1,LOC100912293,
520,Adss,Ccdc146,Cyp20a1,AABR07071228.1,LOC103690139,,Ercc3,LOC100912510,
521,Aes,Ccdc149,Cyp39a1,AABR07071374.1,LOC103692984,,Ercc6l2,LOC100912585,
522,Afap1l2,Ccdc153,Cyp4a2,AABR07071659.2,LOC103693608,,Ergic3,LOC102546495,
523,Afdn,Ccdc173,Cyp4f37,AABR07071697.1,LOC103695172,,Erh,LOC102548889,
524,Aff4,Ccdc33,Cyp4f4,AABR07071746.1,LOC108348079,,Esf1,LOC102549408,
525,Agap1,Ccdc36,Cysrt1,AABR07071891.1,LOC108348114,,Etfdh,LOC102550872,
526,Aggf1,Ccdc40,Cyth4,AABR07071904.1,LOC108348157,,Exnef,LOC102552669,
527,Agps,Ccdc50,Dach2,AABR07071969.1,LOC108348197,,Exoc2,LOC102553880,
528,Agrn,Ccdc6,Dbr1,AABR07072169.1,LOC108348250,,Exoc7,LOC102555328,
529,Ahnak,Ccdc61,Dctn1,AABR07072266.1,LOC108348771,,Ext1,LOC102555578,
530,Ahrr,Ccdc65,Dctn6,AABR07072371.1,LOC108350036,,F2r,LOC103690168,
531,Aif1,Ccdc71,Dcun1d1,AABR07072463.1,LOC257650,,Fam107b,LOC103690241,
532,Aim1,Ccdc82,Ddx23,AABR07072539.2,LOC361016,,Fam114a1l1,LOC103693222,
533,Aimp1,Ccdc84,Defb29,AABR07072546.1,LOC498222,,Fam118b,LOC103693605,
534,Ak2,Ccdc88a,Defb41,AABR07072759.1,LOC499136,,Fam120b,LOC103694085,
535,Ak3,Ccdc90b,Defb52,AABR07073181.1,LOC499407,,Fam136a,LOC103694210,
536,Ak4,Ccin,Depdc5,AABR07073541.1,LOC500007,,Fam13b,LOC108348129,
537,Akap14,Ccl2,Derl1,AC094212.1,LOC500475,,Fam169b,LOC108348140,
538,Akap2,Ccl20,Dfnb59,AC095278.1,LOC500684,,Fam174b,LOC108348568,
539,Akap7,Ccl25,Dgki,AC095278.2,LOC500845,,Fam196a,LOC108349943,
540,Akip1,Ccl9,Dhcr7,AC095678.1,LOC500846,,Fam19a4,LOC108352591,
541,Akirin1,Ccna2,Dhodh,AC096239.3,LOC500956,,Fam204a,LOC300308,
542,Akna,Ccnj,Dhrs2,AC096430.2,LOC680200,,Fam60a,LOC302228,
543,Akr1b1,Ccnt1,Dhrs4,AC096454.1,LOC680353,,Fam92a,LOC303448,
544,Akt3,Ccny,Dhx29,AC096792.1,LOC680441,,Fancb,LOC310177,
545,Alas1,Ccnyl1,Dhx40,AC097129.1,LOC681325,,Farp1,LOC365778,
546,Aldh9a1,Cd109,Dip2a,AC097183.1,LOC681458,,Fastkd2,LOC367746,
547,Alg1,Cd1d1,Disp2,AC098008.2,LOC685067,,Fbn2,LOC498084,
548,Alg12,Cd274,Dlgap4,AC107446.1,LOC685849,,Fbxl21,LOC498236,
549,Alg13,Cd34,Dlx4,AC107446.2,LOC689166,,Fbxl22,LOC500990,
550,Alg2,Cd36,Dmbt1,AC107597.1,LOC690414,,Fbxl3,LOC501618,
551,Alg3,Cd38,Dmrtc2,AC108631.1,LOC690507,,Fbxw11,LOC680039,
552,Alg5,Cd40,Dnajc13,AC109427.1,LOC691196,,Fbxw7,LOC680579,
553,Alg8,Cd46,Dnajc19,AC109542.1,LOC691422,,Fchsd2,LOC680885,
554,Alg9,Cd47,Dnajc24,AC109958.1,LOC691931,,Fermt2,LOC680955,
555,Alk,Cd55,Dnajc5g,AC110102.1,Lad1,,Fgf10,LOC685171,
556,Alkbh3,Cd72,Dnajc6,AC110102.2,Lamb2,,Fgfr1,LOC685789,
557,Alkbh4,Cd74,Dnase1l3,AC110351.1,Lca5,,Fh,LOC685964,
558,Alox5ap,Cd80,Dnase2b,AC111632.2,Ldhc,,Fhl1,LOC686087,
559,Amdhd2,Cdc14a,Dnpep,AC111734.1,Ldhd,,Fis1,LOC687560,
560,Amer1,Cdc14b,Dntt,AC111831.2,Ldlrad4,,Fkbp5,LOC688286,
561,Amfr,Cdc16,Dock10,AC112531.1,Ldoc1l,,Flna,LOC688526,
562,Amn1,Cdc34,Dpep2,AC112739.1,Lgalsl,,Fnta,LOC688778,
563,Amt,Cdc37l1,Dph1,AC114363.1,Lgi1,,Focad,Lefty1,
564,Anapc7,Cdc42bpg,Dsg1,AC114845.1,Lhfp,,Fos,Lexm,
565,Angel1,Cdc42ep3,Dusp26,AC115277.1,Lifr,,Fosl1,Lhfpl4,
566,Ank1,Cdh11,Dusp3,AC115369.1,Lin7b,,Fpgs,Lilrc2,
567,Ank3,Cdh9,Dusp5,AC115371.2,Lmcd1,,Frmd4a,Lipc,
568,Ankar,Cdhr4,Duxbl1,AC115420.1,Lmnb2,,Ftcd,Lipt2,
569,Ankmy1,Cdk19,Dynap,AC115420.3,Lmo3,,Fundc1,Lmntd1,
570,Ankra2,Cdk5r1,Dync1li2,AC115420.4,Lnx1,,Fv1,Lrfn1,
571,Ankrd24,Cdk5rap1,E2f6,AC116283.1,Loxl3,,Fzr1,Lrig3,
572,Ankrd33b,Cdkn3,Ecscr,AC117058.1,Lpcat4,,Gabarap,Lrit1,
573,Ankrd49,Cdr2l,Efcab14,AC118115.1,Lrrc58,,Gabpa,Lrriq3,
574,Ankrd53,Cdrt4,Efcab8,AC118434.1,Lrrn4cl,,Gabpb1,Lrrn4,
575,Ankrd6,Cds2,Efhd2,AC118858.1,Lrrtm4,,Gadd45gip1,Ly9,
576,Anks1a,Cdyl2,Efna1,AC119015.1,Lrsam1,,Galk2,Lyg2,
577,Ankzf1,Ceacam1,Efnb2,AC119111.1,Lrtm2,,Galnt11,Macc1,
578,Anlnl1,Ceacam19,Efr3b,AC119336.1,Lsg1,,Gamt,Map3k10,
579,Ano4,Ceacam4,Eid2,AC119603.1,Lsm11,,Gapdh,Map3k9,
580,Ano6,Cebpd,Eif2b3,AC119762.3,Ltbp2,,Gapdh-ps2,Map4k2,
581,Anp32b,Cenpa,Elob,AC120066.1,Lurap1,,Gatad2b,Mapk11,
582,Anp32e,Cenpb,Emp3,AC120076.1,Ly6g5b,,Gatm,Mapk14,
583,Antxr1,Cenpi,Emx1,AC120262.1,MGC105567,,Gbf1,Mapk7,
584,Antxr2,Cenpl,Enpp3,AC121209.1,Mag,,Ggact,Mapre2,
585,Anxa10,Cenpq,Ep400,AC121415.1,Mageb18,,Ggh,Mc3r,
586,Anxa2,Cep131,Epb41l5,AC121415.2,Mageh1,,Ggnbp1,Mecr,
587,Anxa3,Cep350,Epha8,AC121663.1,Mak,,Ggnbp2,Mesp2,
588,Anxa6,Cep57,Epor,AC123018.1,Manba,,Ghitm,Mex3a,
589,Anxa7,Cep70,Erbin,AC123095.2,Map1a,,Ghr,Mfrp,
590,Aoah,Cep85,Erfe,AC123185.1,Map2k7,,Gigyf2,Mgat4d,
591,Ap1b1,Cerkl,Erich2,AC123316.2,Mapk8ip3,,Gins1,Mgst2,
592,Ap1g2,Cers6,Etd,AC123425.1,Mapkapk5,,Gins4,Mir15b,
593,Ap1s2,Cfap53,Etnk1,AC123427.1,Mapre3,,Glb1,Mir18a,
594,Ap1s3,Cfap69,Etv4,AC123471.1,9-Mar,,Glcci1,Mir20a,
595,Ap2a1,Cfap77,Etv6,AC125982.1,Marveld1,,Glipr2,Mir3074,
596,Ap2a2,Cfb,F5,AC126148.1,Masp2,,Glul,Mir349,
597,Ap2s1,Cgref1,Fa2h,AC126572.1,Matn1,,Glyr1,Mir568,
598,Ap3s1,Chad,Fabp9,AC126572.3,Matn3,,Gm2a,Mir6331,
599,Ap4b1,Chic1,Faf2,AC126581.1,Matn4,,Gmeb1,Mmp21,
600,Ap4s1,Chid1,Fahd1,AC126899.1,Mbp,,Gml,Mnd1,
601,Apbb1ip,Chpf2,Fam110d,AC127640.1,Mcc,,Gna13,Mns1,
602,Apeh,Chpt1,Fam115c,AC128207.1,Mcoln2,,Gng10,Morc1,
603,Apex1,Chrne,Fam124b,AC128610.1,Mecom,,Gnl3l,Mospd2,
604,Aph1a,Chst14,Fam134a,AC128792.1,Med18,,Gnpat,Mospd4,
605,Apip,Chst9,Fam135a,AC128800.1,Med9,,Golim4,Mov10l1,
606,Aplp2,Cidea,Fam160a2,AC128836.1,Megf8,,Gosr1,Mrpl49,
607,Apob,Cideb,Fam167b,AC128960.2,Megf9,,Got2,Msantd2,
608,Apobec1,Cisd3,Fam208a,AC129244.1,Meis2,,Gpatch8,Msl2,
609,Apod,Cited1,Fam35a,AC129365.1,Mettl1,,Gpc1,Mtmr10,
610,Apoo,Cited2,Fam46c,AC130253.1,Mettl21b,,Gpcpd1,Mto1,
611,Apool,Cited4,Fam83g,AC130391.4,Mettl8,,Gpr4,Muc5b,
612,Apopt1,Clcn1,Farp2,AC130970.1,Mfhas1,,Gpr65,Myh7b,
613,App,Cldn12,Farsa,AC131360.1,Mgat4c,,Gps2,Myl3,
614,Aprt,Cldn23,Fastk,AC131411.1,Mib2,,Gpt2,Mypn,
615,Aptx,Cldn4,Fat3,AC131411.2,Mir1896,,Gramd1b,NEWGENE_1304700,
616,Arap3,Cldn5,Fat4,AC131483.1,Mlh3,,Grcc10,NEWGENE_1308624,
617,Arf5,Cldn9,Fbn1,AC131537.1,Mme,,Grhpr,NEWGENE_1359268,
618,Arfgap3,Clec12a,Fbxo11,AC132720.1,Mmp24,,Gripap1,NEWGENE_621351,
619,Arfgef1,Clec14a,Fbxo24,AC132752.2,Mn1,,Grk2,NRON,
620,Arfip1,Clec16a,Fer,AC133403.1,Mobp,,Grsf1,Naaladl1,
621,Arfip2,Clec1a,Ffar1,AC133739.1,Mppe1,,Gse1,Nags,
622,Arg2,Clec2d,Fgf1,AC135443.1,Mre11a,,Gsg2,Nat14,
623,Arglu1,Clec2d2,Fgf17,AC139445.1,Mreg,,Gstm1,Nat8f1,
624,Arhgap11a,Clec2g,Fgr,AC139608.2,Mtcp1,,Gtf2a2,Ncapd2,
625,Arhgap15,Clec4a2,Fhl2,AC141028.3,Mtfp1,,Gtf2h1,Nckap5,
626,Arhgap18,Clec4d,Fhl3,AC141169.1,Mtr,,Gtf2h5,Ndst2,
627,Arhgap20,Clec9a,Fkbpl,AC141169.2,Mtrf1l,,Gulp1,Nectin3,
628,Arhgap21,Clic4,Fmo4,AC142154.1,Muc13,,H3f3a,Nid1,
629,Arhgap23,Clip2,Fmo9,AC142178.3,Murc,,Hadh,Nkapl,
630,Arhgap30,Clip3,Fnbp4,AC142458.1,Mvd,,Hamp,Nlrx1,
631,Arhgap36,Clock,Fndc8,ACEA_U3,Mx1,,Hars,Nmral1,
632,Arhgap39,Clpx,Fnip1,AY172581.12,Myo5b,,Hbp1,Notch2,
633,Arhgap42,Clu,Foxg1,AY172581.22,Myo6,,Hbs1l,Notum,
634,Arhgap45,Cluh,Foxn2,AY172581.3,Myrf,,Hdac3,Npas1,
635,Arhgap6,Clvs1,Foxo6,AY172581.5,NEWGENE_2813,,Hdgfrp3,Npb,
636,Arhgdia,Cmbl,Fryl,Aaas,Naga,,Hdhd2,Nrdc,
637,Arhgef11,Cmklr1,Fsd2,Aars2,Nalcn,,Hectd1,Ntn3,
638,Arhgef12,Cmtm7,Fstl5,Aatk,Nat1,,Hells,Ntn4,
639,Arhgef16,Cnn1,Fto,Abat,Nat8b,,Helq,Nudt15,
640,Arhgef17,Cnnm2,Fut2,Abca16,Nav3,,Helz,Nutm1,
641,Arhgef25,Cnot6,Fut9,Abca4,Nceh1,,Herc1,Oas1b,
642,Arhgef33,Cnot8,Fxn,Abca6,Ndnf,,Herpud2,Oasl2,
643,Arhgef39,Cnst,Fzd5,Abca9,Ndrg2,,Hes1,Oaz3,
644,Arid1b,Cntf,Gabbr1,Abcb1a,Nefl,,Hexim1,Olr107,
645,Arih1,Cntn1,Gart,Abcb8,Negr1,,Higd1a,Olr1139,
646,Arih2,Coa4,Gas8,Abcc2,Neil2,,Hist1h4b,Olr1341,
647,Arl11,Cog3,Gcc2,Abcc3,Neto2,,Hist2h4,Olr1442,
648,Arl15,Col13a1,Gckr,Abcc6,Neurl4,,Hm13,Olr1456,
649,Arl2bp,Col17a1,Gde1,Abcc8,Nfasc,,Hmg1l1,Olr1535,
650,Arl3,Col4a3,Gemin5,Abcd1,Nfatc1,,Hmg20b,Olr1704,
651,Arl4a,Col6a2,Gfi1,Abcd4,Nkain3,,Hmgb1-ps4,Olr1730,
652,Arl5c,Col6a6,Gfi1b,Abcf3,Nkiras1,,Hmgcr,Olr235,
653,Arl6ip1,Col8a1,Ggt7,Abcg2,Nop9,,Hmgn2,Olr239,
654,Arl8b,Col8a2,Ghrh,Abcg5,Npc1l1,,Hmgn3,Olr268,
655,Armc1,Comtd1,Ghrl,Abcg8,Npr2,,Hmox1,Olr340,
656,Armc9,Coq10a,Gimap1,Abhd15,Nr4a1,,Hn1l,Olr367,
657,Armcx2,Coq4,Gimap4,Abhd16a,Nr6a1,,Hnrnpa2b1,Olr373,
658,Arnt2,Coq8b,Gimap5,Abhd2,Nrip3,,Hnrnpab,Olr38-ps,
659,Arpc1a,Corin,Gins2,Abhd3,Nrk,,Hnrnpf,Olr415,
660,Arpc1b,Coro2a,Gja4,Abhd5,Nrn1,,Hnrnph1,Olr459,
661,Arpc2,Cox10,Gja5,Abhd6,Nrsn2,,Hook3,Olr48,
662,Arpc3,Cox7a1,Gls,Abl1,Nrtn,,Hpcal1,Olr496,
663,Arpc4,Cpd,Gltp,Ablim1,Nt5e,,Hsc70-ps2,Olr517,
664,Arrb2-ps,Cpeb3,Gm9918,Ablim3,Nudt12,,Hsp90aa1,Olr578,
665,Arsa,Cpeb4,Gm9949,Acaca,Nup160,,Hsp90b1,Olr584,
666,Art5,Cplx2,Gmnc,Acacb,Nup210l,,Hspa14,Olr726,
667,Asah1,Cpne3,Gna15,Acad9,Nxpe2,,Hspa4,Olr729,
668,Asap1,Cpne7,Gng2,Acat2,Oat,,Hspbap1,Olr737,
669,Asb1,Cpne8,Golga5,Acbd6,Olr1304,,Htra1,Olr750,
670,Asb2,Cpped1,Gpat2,Accs,Olr1668,,Htra3,Olr756,
671,Asb4,Cpt1b,Gper1,Ace2,Olr36,,Hyal2,Olr758,
672,Asb6,Crabp1,Gpm6b,Acer2,Olr833,,Iars,Olr776,
673,Asb8,Crat,Gpr139,Acer3,Omd,,Iars2,Olr824,
674,Ascc2,Crb3,Gpr146,Acnat2,Osbp2,,Id3,Olr825,
675,Asns,Crk,Gpr149,Acot13,Osbpl5,,Idh2,Olr826,
676,Aspa,Crlf3,Gpr157,Acoxl,Otulin,,Idi1,Olr837,
677,Asphd1,Cry1,Gpr18,Acp2,P4htm,,Ift122,Olr916,
678,Aspscr1,Cryl1,Gpr68,Acr,Pabpc4l,,Ift20,Opn1sw,
679,Ass1,Cryz,Gpr89b,Acrbp,Paip2b,,Ift22,Osgin2,
680,Asxl3,Csf1,Gprasp1,Acrv1,Palb2,,Ift43,Otogl,
681,Atad2b,Csf2rb,Gpx5,Acsf2,Palld,,Ift52,Pan3,
682,Atad3a,Csgalnact2,Grin2d,Acsl1,Pam,,Igf1,Paqr6,
683,Atad5,Csnk1g1,Grm2,Acsl6,Pbxip1,,Igf1r,Parp9,
684,Atf4,Csnk1g2,Gsdmd,Acsm3,Pcdh7,,Igf2bp2,Pask,
685,Atf5,Cstf1,Gsn,Acss2,Pcdh9,,Igfbp5,Pdcd1,
686,Atf6,Ctcfl,Gstk1,Acss3,Pcdhb14,,Ikzf5,Peak1,
687,Atg10,Ctla2a,Gstm4,Actc1,Pcdhb20,,Ilf3,Per3,
688,Atg14,Ctnna3,Gtf3c4,Actg2,Pcdhga2,,Immp1l,Pgm2,
689,Atg4c,Ctrl,Gtpbp10,Actl6a,Pcdhga3,,Impa1,Pi15,
690,Atl3,Cubn,Gtsf1,Actn2,Pcif1,,Impdh2,Pid1,
691,Atox1,Cxadr,Guca2a,Actr1a,Pde1a,,Incenp,Pip4k2b,
692,Atp11c,Cxadrl1,Gucd1,Actr6,Pdgfd,,Ino80e,Pitx1,
693,Atp1a2,Cxcl1,Gulo,Actrt3,Pdxdc1,,Insig1,Pla2g12b,
694,Atp1a3,Cxcl11,H1foo,Acvr2b,Pdzk1,,Ints12,Pla2g4d,
695,Atp1a4,Cxcl13,H6pd,Acvrl1,Per1,,Ints14,Pla2g5,
696,Atp1b1,Cxcl2,Habp2,Acyp2,Pgr,,Ints5,Plac9,
697,Atp1b4,Cxcl3,Hbz,Adam10,Phf12,,Ipmk,Plag1,
698,Atp23,Cyb5rl,Hcfc1,Adam11,Phlpp2,,Ipo5,Plb1,
699,Atp2a3,Cygb,Hcrt,Adam2,Pick1,,Iqsec1,Plcb4,
700,Atp2b1,Cyp19a1,Hdc,Adam32,Piezo2,,Irs1,Pld3,
701,Atp5a1,Cyp1a1,Hddc2,Adam33,Pigs,,Isg20,Pld6,
702,Atp5b,Cyp1b1,Hectd4,Adam8,Pip4k2c,,Itch,Plin5,
703,Atp5c1,Cyp26a1,Hhat,Adamts13,Pja1,,Itga5,Plpp7,
704,Atp5d,Cyp2c23,Hhatl,Adamts16,Pkd1,,Itga8,Pmfbp1,
705,Atp5e,Cyp2d4,Hikeshi,Adamts19,Pla2g7,,Itgb1bp2,Pnpla1,
706,Atp5f1,Cyp2d5,Hip1,Adamts3,Plat,,Itgb3bp,Pole4,
707,Atp5g1,Cyp2j4,Hipk1,Adamts7,Plch2,,Itm2a,Polr3h,
708,Atp5g2,Cyp4f17,Hist1h3a,Adamtsl1,Plcl2,,Itm2c,Pou5f1,
709,Atp5g3,Cyp4f18,Hmgcs2,Adamtsl2,Plekhb1,,Jak1,Pou5f2,
710,Atp5h,Cyp4f5,Hmgn5,Adamtsl5,Plekhj1,,Jmjd1c,Pou6f1,
711,Atp5j,Cyr61,Hmgn5b,Adap1,Pls1,,Jmjd6,Praf2,
712,Atp5j2,Cytip,Hmx1,Adar,Pnoc,,Jun,Pramef17,
713,Atp5l,D2hgdh,Hnrnpll,Adarb1,Poc1b,,Ka11,Prdm6,
714,Atp6ap2,Dact1,Hnrnpm,Adarb2,Pparg,,Kansl3,Prdm9,
715,Atp6v0a1,Dact2,Hoxb6,Adcy5,Ppfia4,,Kat6a,Prelid3b,
716,Atp6v0c,Dagla,Hps1,Adcy7,Ppil6,,Kat7,Prkd2,
717,Atp6v0e1,Dapk3,Hps6,Adcyap1,Ppm1l,,Kctd15,Prl8a4,
718,Atp6v1a,Dapp1,Hsd17b14,Adcyap1r1,Ppp1r13l,,Kdm1a,Proc,
719,Atp6v1b2,Daxx,Hsd3b2,Adgra3,Ppp1r1b,,Kdm2a,Prox2,
720,Atp6v1c1,Dazap1,Hsdl1,Adgrf2,Ppp1r37,,Kif23,Prr16,
721,Atp6v1d,Dbt,Hspa12a,Adgrf4,Ppp1r3b,,Kif5b,Prss27,
722,Atp6v1e1,Dcaf12l2,Hspb11,Adgrg7,Ppp1r3c,,Kin,Prss39,
723,Atp6v1g1,Dcaf17,Hus1b,Adgrl3,Prelp,,Klf14,Prss47,
724,Atp7b,Dcaf5,Hyal5,Adgrl4,Prnp,,Klf6,Psd,
725,Atpaf1,Dcbld2,Hydin,Adh1,Prr19,,Klhdc3,Ptch1,
726,Atpif1,Dclk2,Hypm,Adhfe1,Prrg2,,Klhl13,Ptprq,
727,Atrip,Dcps,Icam4,Adora2a,Prrt2,,Klhl26,Ptprr,
728,Atrnl1,Dcun1d2,Icos,Adpgk,Prtg,,Kmt2c,Pts,
729,Atxn2,Ddb2,Ifitm3,Adra1b,Ptcra,,Knl1,Qpct,
730,Atxn2l,Ddit4,Ifnar2,Adssl1,Ptgds,,Kpna2,Qsox1,
731,Atxn7,Ddrgk1,Ifnb1,Afap1,Ptger3,,Kras,R3hdm1,
732,Atxn7l1,Ddx17,Ift27,Afap1l1,Ptger4,,Krt10,RGD1307537,
733,Atxn7l2,Ddx20,Igf2bp1,Aff2,Ptprv,,Krt18,RGD1307916,
734,Atxn7l3b,Ddx31,Igfals,Afg3l1,Pycr1,,Krt222,RGD1308117,
735,Aup1,Ddx59,Igsf5,Aftph,RGD1305455,,L3mbtl2,RGD1308544,
736,Aurka,Dedd2,Il10ra,Aga,RGD1305713,,LOC100125364,RGD1308706,
737,Aurkb,Dennd1a,Il10rb,Agap2,RGD1306556,,LOC100174910,RGD1309651,
738,Aven,Dennd1c,Il17a,Agbl2,RGD1309534,,LOC100359539,RGD1310081,
739,Azin1,Dennd3,Il17re,Agbl3,RGD1311595,,LOC100359574,RGD1559644,
740,B2m,Dennd4a,Il20,Agbl5,RGD1359127,,LOC100359916,RGD1560470,
741,B3galnt2,Dennd5b,Il24,Agfg1,RGD1559995,,LOC100361067,RGD1560718,
742,B3gat3,Dennd6a,Il34,Agfg2,RGD1560608,,LOC100361457,RGD1560771,
743,B3glct,Depdc7,Il36g,Agk,RGD1560958,,LOC100361475,RGD1561557,
744,B4galt1,Derl3,Impg2,Agl,RGD1562029,,LOC100361920,RGD1561667,
745,B4galt2,Dffa,Ina,Agmat,RGD1562963,,LOC100361993,RGD1561671,
746,B4galt3,Dhx38,Ino80,Agmo,RGD1563349,,LOC100362999,RGD1561849,
747,B4galt6,Dhx57,Ints8,Ago3,RGD1563958,,LOC100364509,RGD1562024,
748,B9d1,Diaph3,Ip6k2,Ago4,RGD1564345,,LOC100909712,RGD1562066,
749,B9d2,Dimt1,Ireb2,Agpat2,RGD1565912,,LOC100910017,RGD1562319,
750,Baat,Dio3,Irf4,Agpat3,RGD1566387,,LOC100910678,RGD1563056,
751,Babam1,Dis3,Irgq,Agpat4,RNaseP_nuc,,LOC100910755,RGD1563263,
752,Bag3,Dis3l,Irs2,Agr3,RT1-S3,,LOC100910771,RGD1563323,
753,Bag6,Dis3l2,Iscu,Agrp,RT1-T24-1,,LOC100910875,RGD1563378,
754,Bahd1,Dkk3,Ist1,Agtr1a,Rab11fip4,,LOC100910944,RGD1563620,
755,Baiap2l1,Dlat,Itgav,Agtr2,Rab3a,,LOC100911130,RGD1563941,
756,Banf1,Dlec1,Itgb2,Ahcy,Rab40b,,LOC100911295,RGD1564053,
757,Banp,Dlg1,Itih2,Ahdc1,Rab6b,,LOC100911485,RGD1564463,
758,Bap1,Dlg2,Jtb,Ahnak2,Rad9a,,LOC100911486,RGD1564937,
759,Basp1,Dll3,Jund,Ahr,Ralgps1,,LOC100911615,RGD1565536,
760,Baz1a,Dll4,Katna1,Ahsa2,Ranbp3l,,LOC100911637,RGD1565685,
761,Baz2b,Dmtn,Kcnab1,Aifm1,Rarg,,LOC100911660,RGD1566225,
762,Bbip1,Dmwd,Kcnh1,Aifm3,Rasal3,,LOC100911664,Rab19,
763,Bbx,Dnaaf2,Kcnh8,Aig1,Rcan2,,LOC100911733,Rad1,
764,Bcam,Dnah11,Kcnj12,Aim1l,Rdh14,,LOC100911734,Rad52,
765,Bcar3,Dnah2,Kcnj16,Aim2,Rec8,,LOC100911917,Rag1,
766,Bcat2,Dnajb13,Kcnn4,Aimp2,Reln,,LOC100911932,Ralyl,
767,Bckdha,Dnajb6,Kcns1,Ajuba,Rfwd2,,LOC100911938,Rasa3,
768,Bcl10,Dnajb9,Kcnt1,Ak9,Rfx4,,LOC100912042,Rasgrp1,
769,Bcl2a1,Dnajc27,Kcnv2,Akap12,Rgn,,LOC100912059,Rassf9,
770,Bcl2l1,Dnajc30,Kcp,Akap5,Rhod,,LOC100912195,Rbm22,
771,Bcl2l11,Dnal1,Kctd21,Akap6,Rhpn1,,LOC100912399,Rcan3,
772,Bcl2l12,Dnd1,Kdelr1,Akr1b7,Ribc1,,LOC100912564,Rd3l,
773,Becn1,Dnm1,Kdm5d,Akr1c13,Riiad1,,LOC102547056,Rdh8,
774,Bend4,Dock6,Kdm8,Akr1c14,Rimkla,,LOC102549636,Reg4,
775,Bex2,Dock8,Kdr,Akr1e2,Rita1,,LOC102549852,Rell2,
776,Bicd2,Dohh,Kirrel2,Akr7a3,Rmdn2,,LOC102556337,Rmt1,
777,Bid,Dolk,Klf2,Akt1,Rmdn3,,LOC103689927,Rn50_10_0698.8,
778,Bik,Dolpp1,Klf4,Aldh18a1,Rn50_10_0890.4,,LOC103689978,Rn50_10_0862.1,
779,Bin2,Dpf3,Klhdc10,Aldh1a1,Rn50_13_0801.2,,LOC103689986,Rn50_11_0160.1,
780,Bin3,Dph2,Klhl31,Aldh1a2,Rn50_20_0014.2,,LOC103690005,Rn50_12_0174.1,
781,Bles03,Dph7,Klhl36,Aldh1a3,Rn50_20_0038.2,,LOC103690019,Rn50_13_0803.1,
782,Blm,Dppa3,Klhl9,Aldh1a7,Rn50_5_0009.1,,LOC103690033,Rn50_13_0829.4,
783,Bloc1s1,Dppa5,Kndc1,Aldh2,Rn50_7_0099.2,,LOC103690067,Rn50_13_0834.1,
784,Bloc1s5,Dpyd,Kntc1,Aldh3a1,Rn50_7_1407.2,,LOC103690095,Rn50_13_0849.2,
785,Bloc1s6,Dram1,Krcc1,Aldh3a2,Rn50_7_1407.3,,LOC103690128,Rn50_15_0538.1,
786,Blvra,Dscr3,Krtap14l,Aldh5a1,Rn50_8_0651.1,,LOC103690149,Rn50_1_1734.1,
787,Blvrb,Dsg2,LOC100158225,Aldh7a1,Rn50_X_0631.1,,LOC103690343,Rn50_20_0058.4,
788,Bmp2k,Dtx3l,LOC100294508,Aldob,Rn60_10_0621.2,,LOC103692169,Rn50_2_1089.2,
789,Bms1,Duoxa1,LOC100302465,Aldoc,Rn60_11_0615.2,,LOC103692716,Rn50_3_1169.1,
790,Bnip1,Dusp12,LOC100360244,Alg10,Rn60_15_0937.6,,LOC103692939,Rn50_5_0814.33,
791,Bnip3l,Dusp23,LOC100361655,Alg11,Rn60_17_0155.5,,LOC103694082,Rn50_7_0058.1,
792,Boc,Dusp28,LOC100362027,Alg6,Rn60_19_0395.1,,LOC108348067,Rn50_7_1158.5,
793,Bod1,Dvl1,LOC100363287,Alkbh5,Rn60_20_0032.5,,LOC108348078,Rn50_X_0635.3,
794,Bok,Dynll2,LOC100909648,Alkbh6,Rn60_2_1877.6,,LOC108348082,Rn50_X_0636.4,
795,Bora,Dyrk1b,LOC100909671,Alkbh7,Rn60_2_2350.1,,LOC108348122,Rn50_X_0637.1,
796,Borcs5,Dzank1,LOC100909704,Alkbh8,Rn60_X_1102.1,,LOC108348293,Rn50_X_0645.1,
797,Borcs8,E2f3,LOC100909913,Alox12e,Rn60_Y_0007.4,,LOC108351137,Rn50_X_0699.1,
798,Bphl,ENSRNOG00000042804,LOC100909998,Alox5,Rn60_Y_0032.1,,LOC108351589,Rn50_X_0752.4,
799,Brcc3,ENSRNOG00000051069,LOC100910021,Aloxe3,Rnf113a1,,LOC288913,Rn60_10_0615.5,
800,Brd1,ENSRNOG00000056537,LOC100910057,Alpk3,Rnf122,,LOC301124,Rn60_10_0910.6,
