,¨K¨K,¨K¨J,¨K¡ú,¨J¨K,¨J¨J,¨J¡ú,¡ú¨K,¡ú¨J,¡ú¡ú 
40,AABR07005838.1,AABR07014304.1,AABR07007717.1,AABR07002898.1,AABR07032393.1,Adcy10,AABR07027752.1,AABR07016674.1,Bmpr2
41,AABR07006160.1,AABR07015078.1,AABR07007717.3,AABR07002928.1,AABR07033920.1,Adgrb3,AABR07027910.1,AABR07016947.1,Bnip2
42,AABR07006255.1,AABR07015346.1,AABR07008126.1,AABR07002938.1,AABR07034098.1,Aff3,AABR07028185.1,AABR07016950.1,Bsg
43,AABR07006258.1,AABR07015559.1,AABR07008298.1,AABR07002973.1,AABR07034393.1,Afmid,AABR07028349.1,AABR07016976.1,Ccdc186
44,AABR07006333.1,AABR07015596.1,AABR07008568.1,AABR07003030.2,AABR07034425.1,Ahi1,AABR07029742.1,AABR07017266.1,Cd59
45,AABR07006504.1,AABR07015639.1,AABR07008890.1,AABR07003187.1,AABR07035008.2,Aifm2,AABR07032255.1,AABR07017626.1,Cdk5rap2
46,AABR07006724.1,AABR07015719.1,AABR07009357.1,AABR07003250.1,AABR07035412.2,Akap1,AABR07032856.1,AABR07017999.1,Cep85l
47,AABR07007026.1,AABR07016578.3,AABR07009919.1,AABR07004232.1,AABR07035428.1,Akap9,AABR07033045.1,AABR07018164.1,Cerk
48,AABR07007092.1,AABR07016856.1,AABR07010747.1,AABR07004232.2,AABR07035926.2,Aldh1l2,AABR07033324.1,AABR07018331.1,Chac1
49,AABR07007391.1,AABR07016934.1,AABR07010777.1,AABR07004269.3,AABR07036331.2,Ammecr1,AABR07033465.1,AABR07019085.1,Ckap2l
50,AABR07007730.1,AABR07017197.1,AABR07010878.1,AABR07004746.1,AABR07036452.1,Ankrd10,AABR07033887.1,AABR07019254.2,Clmp
51,AABR07007905.1,AABR07017237.1,AABR07010894.1,AABR07004776.1,AABR07037943.1,Aqp1,AABR07034445.1,AABR07020859.1,Col12a1
52,AABR07007905.2,AABR07017238.1,AABR07012023.1,AABR07004823.1,AABR07039498.1,Arhgef7,AABR07034573.3,AABR07020990.1,Col26a1
53,AABR07008025.1,AABR07017917.1,AABR07012051.2,AABR07004833.1,AABR07040906.1,Arl16,AABR07034729.2,AABR07021357.1,Col3a1
54,AABR07008293.2,AABR07018191.1,AABR07012762.1,AABR07005533.1,AABR07041709.1,Armcx1,AABR07034730.1,AABR07021430.1,Col5a2
55,AABR07008421.1,AABR07018244.1,AABR07013157.1,AABR07005569.1,AABR07042385.1,Armcx6,AABR07035008.1,AABR07021433.1,Cope
56,AABR07008485.1,AABR07019663.1,AABR07013165.1,AABR07005779.4,AABR07042496.1,Atg3,AABR07035074.1,AABR07021625.1,Coq6
57,AABR07009105.1,AABR07020815.1,AABR07013488.2,AABR07005950.1,AABR07042514.1,Atp13a1,AABR07035541.2,AABR07021635.1,Coq7
58,AABR07009572.1,AABR07020979.1,AABR07013801.1,AABR07005961.1,AABR07042611.1,Atp1a1,AABR07035780.2,AABR07022023.1,Cpeb2
59,AABR07009715.1,AABR07021204.1,AABR07013914.1,AABR07006025.1,AABR07042936.2,Atp2c1,AABR07036567.1,AABR07024473.1,Dcp2
60,AABR07010330.1,AABR07021717.1,AABR07013922.1,AABR07006458.1,AABR07043453.1,Bfar,AABR07036855.1,AABR07024873.1,Dst
