,T1,T2,T3
Adck1,0,10.00537303,68.72545113
Adck2,2.545030677,16.12831978,52.77176446
Adck5,134.1050106,103.4760329,45.36280958
Adcy10,1.083794245,3.394213256,3.624628588
Adcy2,100.6860066,43.98588647,112.2602514
Adcy3,205.9192293,154.0524538,60.50797005
Adcy4,31.55737686,5.200114959,6.584347195
Adcy5,0.289786191,10.70318218,5.085082438
Adcy6,46.46197638,42.89237151,12.73151872
Adcy7,15.30166818,17.00776924,0.742214171
Adcy8,3.96860402,0.576426697,3.68388982
Adcy9,37.75233757,3.767704114,7.62E-05
Adcyap1,0,2.258792753,0
Adcyap1r1,0.239213245,4.121807122,2.835845755
Add1,1296.557342,943.9785083,978.1795489
Add3,588.1387435,634.7289371,687.4213413
Adgb,2.733128711,1.991403407,1.506670055
Adgra2,9.00720558,3.097535607,2.280798849
Adgra3,208.0866449,301.9797056,71.02180073
Adgrb2,10.40024629,14.32909455,15.8838181
Adgrb3,5.000370184,19.4016922,20.89340044
Adgrd1,1.430344943,0.366405065,0
Adgre1,128.178135,33.01325009,4.502520072
Adgre4,0,0,0.290587743
Adgre5,392.3302009,372.6209669,24.37680583
Adgrf2,0,2.807868274,0.179180413
Adgrf3,0,0.112010763,11.38169598
Adgrf4,0,0.934349215,0.176753374
Adgrf5,80.69923881,8.701417573,0.507216364
Adgrg1,69.76825507,62.15129946,39.00917004
Adgrg2,49.9912608,58.46251738,73.35288134
Adgrg3,11.83918647,0,448.1532002
Adgrg5,0,0,0.120733931
Adgrg6,325.9871183,277.8899973,273.5296183
Adgrg7,0,13.75407746,7.969796025
Adgrl1,29.45382981,9.284575898,77.52574006
Adgrl2,1209.315621,532.0822563,697.1893759
Adgrl3,627.472112,775.5509086,552.9586928
Adgrl4,30.84122878,39.44819484,6.778468941
Adgrv1,19.27319842,0,6.068148491
Adh1,156.9135045,296.4619608,120.4089487
Adh4,1717.528674,1682.285006,1313.965676
Adh7,0,0,266.1438347
Adhfe1,0,49.80646986,19.30610858
Adi1,490.0334509,290.4694423,276.8525375
Adig,159.7765834,29.22813051,0
Adipoq,25.00330899,26.08204731,10.6076803
Adipor1,1889.345691,1424.964876,952.144474
Adipor2,1150.429702,1013.906226,400.3758755
Adk,2635.604496,2124.565578,1135.906499
Adm,1526.531062,640.8257947,13.34719858
Adm2,75.2051391,12.80574577,1.94122647
Adnp,3473.692789,3166.111402,2397.162982
Adnp2,91.55685013,63.41277168,24.22866628
Ado,4.655950353,0,0.605933582
Adora2a,1.640772803,2.345612167,0
Adora2b,608.9529211,359.1532706,209.4678219
Adpgk,341.674295,503.6987647,404.8098057
Adprh,1214.12522,1212.679646,602.9967844
Adprhl2,720.2649872,323.1084965,203.0935595
Adprm,1631.006551,1267.442386,378.0967939
Adra1a,4.967549708,0.816458646,0
Adra1b,7.473295117,20.14276176,0
Adra2a,27.71628449,4.549157634,53.67202839
Adra2b,3.511798465,0,0.081130815
Adrb2,270.0972468,145.153502,71.52200606
Adrm1,741.1792783,594.5060507,289.1269651
Adsl,2918.957128,2240.350691,1292.301776
Adss,3246.058126,2760.046436,1296.249343
Adssl1,0.966812698,5.879202291,0
Aebp1,167.2067642,140.0627486,170.3100963
Aebp2,442.0988979,165.5576858,176.1767722
Aen,7.961850887,12.26504497,53.56202639
Aes,293.5120973,215.0828398,122.9761476
Afap1,325.3300452,378.8782538,311.3786181
Afap1l1,53.32694899,93.62353648,0
Afap1l2,99.08729379,65.1193599,6.313619616
Afdn,33.61458374,29.18433511,20.59440248
Aff1,12.87931913,7.874429769,11.66127803
Aff2,48.90372358,59.97469295,12.76015098
Aff3,19.82832018,42.9426862,40.08565006
Aff4,728.5187782,603.3869043,458.2283614
Afg3l1,359.8955737,466.4443123,297.9894746
Afg3l2,532.1944566,547.9573459,283.1418281
Afmid,44.74337425,118.6298227,124.8948906
Aftph,117.2954859,174.8585869,104.8805366
Aga,3305.171691,4195.862925,2948.427249
Agap1,123.6971482,108.4457443,81.71273847
Agap2,0,0.160635075,8.20E-07
Agap3,148.5201759,201.7374728,644.4645678
Agbl2,0,25.46723764,0.369682091
Agbl3,26.12893908,59.9318261,9.606716366
Agbl5,0,22.10935162,1.262727612
Ager,266.7260847,58.40351776,61.03433142
Agfg1,151.1745876,177.0130676,128.7630338
Agfg2,24.67475672,36.58428261,18.07939435
Aggf1,77.85058999,66.66929222,41.53992238
Agk,498.1598499,717.9038935,390.1424511
Agl,35.68530654,65.53726946,31.27556117
Agmat,0.430226165,10.98156184,0
Agmo,0,0.861352198,0
Ago1,5.568512187,3.693603959,11.3962992
Ago2,396.3247027,244.2214246,264.185091
Ago3,43.49275455,99.2385705,48.2827431
Ago4,5.466899578,43.0392717,12.10016762
Agpat1,271.7320832,284.5817674,531.6305036
Agpat2,145.7828471,240.7569664,117.2677243
Agpat3,176.247283,303.3708815,86.73996336
Agpat4,537.8820657,1151.962039,265.8958779
Agpat5,903.9964031,924.7234028,306.0639186
Agps,195.2374652,113.5778235,13.21793353
Agr2,0,0,0.57191241
Agr3,0,0.376633556,0
Agrn,137.0419374,105.1451269,64.08492137
